node_id,Location,lat,lon,region,industry,type,landmass
oft_ship119,Rostock,54.1,12.133333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship120,Portland,45.516667,-122.666667,NA West Coast,Shipping,offtake,NorthAmerica
oft_ship121,Rade De Cherbourg,49.65,-1.633333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship122,Teesport,54.65,-1.133333,Western Europe,Shipping,offtake,GreatBritain
oft_ship123,Southampton,50.9,-1.4,Western Europe,Shipping,offtake,GreatBritain
oft_ship124,Sevastopol,44.616667,33.533333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship125,Port Of Rouen,49.45,1.066667,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship126,Tri-City Port,38.716667,-90.2,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship127,Vanasadam - Port of Tallinn,59.450128,24.766676,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship128,Sillamae,59.42612,27.73945,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship129,Trieste,45.651,13.746,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship130,Cleveland,41.5,-81.716667,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship131,Belfast,54.616667,-5.9,Western Europe,Shipping,offtake,Ireland
oft_ship132,Pori,61.483333,21.8,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship133,Vancouver,49.283333,-123.116667,NA West Coast,Shipping,offtake,NorthAmerica
oft_ship134,Sankt-Peterburg,59.933333,30.3,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship135,Busan,35.1,129.033333,Japan & South Korea,Shipping,offtake,Eurasia_Africa
oft_ship136,Inchon,37.466667,126.616667,Japan & South Korea,Shipping,offtake,Eurasia_Africa
oft_ship137,Bangkok,13.75,100.5,South-east Asia,Shipping,offtake,Eurasia_Africa
oft_ship138,Shanghai,31.216667,121.5,China & Hong Kong,Shipping,offtake,Eurasia_Africa
oft_ship139,Qingdao Gang,36.033333,120.266667,China & Hong Kong,Shipping,offtake,Eurasia_Africa
oft_ship140,Johor,1.433333,103.9,South-east Asia,Shipping,offtake,Eurasia_Africa
oft_ship141,Jurong Island,1.283333,103.733333,South-east Asia,Shipping,offtake,Eurasia_Africa
oft_ship142,Auckland,-36.85,174.766667,East Australia,Shipping,offtake,NewZealand
oft_ship143,Rio Grande,-32.05,-52.083333,S Latin America,Shipping,offtake,SouthAmerica
oft_ship144,Manila,14.583333,120.966667,South-east Asia,Shipping,offtake,Philippines
oft_ship145,Paldiski Lounasadam,59.333343,24.081111,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship146,Tan-Shui,25.183333,121.4,China & Hong Kong,Shipping,offtake,Taiwan
oft_ship147,Muuga-Port of Tallin,59.500042,24.966693,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship148,Tai-Chung Kang,24.3,120.5,China & Hong Kong,Shipping,offtake,Taiwan
oft_ship149,Kao-Hsiung,22.616667,120.25,China & Hong Kong,Shipping,offtake,Taiwan
oft_ship150,Gdynia,54.533333,18.55,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship151,Kobenhavn,55.7,12.616667,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship152,Riga,56.95,24.1,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship153,Tubarao,-20.283333,-40.25,S Latin America,Shipping,offtake,SouthAmerica
oft_ship154,Fremantle,-32.05,115.75,West Australia,Shipping,offtake,Australia
oft_ship155,Bahai De La Habana,23.133333,-82.366667,N Latin America,Shipping,offtake,Cuba
oft_ship156,Vladivostok,43.108888889,131.888333333,China & Hong Kong,Shipping,offtake,Eurasia_Africa
oft_ship157,Melbourne,-37.833333,144.966667,East Australia,Shipping,offtake,Australia
oft_ship158,Newcastle,-32.916667,151.783333,East Australia,Shipping,offtake,Australia
oft_ship159,Brisbane,-27.466667,153.033333,East Australia,Shipping,offtake,Australia
oft_ship160,Sydney,-33.866667,151.2,East Australia,Shipping,offtake,Australia
oft_ship161,Bahia De Sagua De Tanamo,20.683333,-75.33333299999998,N Latin America,Shipping,offtake,Cuba
oft_ship162,Antilla,20.833333,-75.733333,N Latin America,Shipping,offtake,Cuba
oft_ship163,Chi-Lung,25.133333,121.766667,China & Hong Kong,Shipping,offtake,Taiwan
oft_ship164,Kawasaki Ko,35.5,139.766667,Japan & South Korea,Shipping,offtake,Japan
oft_ship165,Yokohama Ko,35.45,139.583333,Japan & South Korea,Shipping,offtake,Japan
