id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port455,Harmac_Canada,CAN,POINT (-123.8657233386048 49.1410403104077),49.1410403104077,-123.8657233386048,3557587580.6574183,119526364.32860826,13624.5339467298,3677127569.519973
port465,Himeji_Japan,JPN,POINT (134.6378589678863 34.7757991513156),34.7757991513156,134.63785896788627,3553233973.5030227,6990074129.011556,422717436.7526031,10966025539.267181
port1184,Setubal_Portugal,PRT,POINT (-8.842115097892272 38.49997283008241),38.49997283008241,-8.842115097892272,3543878350.976042,2075529146.6938915,1514697609.6876745,7134105107.357608
port1415,Yingkou_China,CHN,POINT (122.0429705835881 40.72688954339104),40.72688954339104,122.04297058358812,3526337160.1461725,2974578766.728944,12175071.211488487,6513090998.086605
port1179,Semarang_Indonesia,IDN,POINT (110.4241286400583 -6.949628052109301),-6.949628052109301,110.42412864005829,3472454582.547464,3231143119.221371,94704947.80661415,6798302649.575449
port1367,Vishakhapatnam_India,IND,POINT (83.23140922275357 17.65545047301363),17.655450473013627,83.23140922275357,3467433480.2021537,11089278288.993542,150175139.4149339,14706886908.61063
port339,Fang-Cheng_China,CHN,POINT (108.3643393207156 21.6142053373197),21.614205337319703,108.36433932071556,3462603331.669451,16427572290.24195,0.0,19890175621.9114
port90,Bahia Quintero (Ventanas)_Chile,CHL,POINT (-71.48395103962916 -32.76696313261002),-32.766963132610016,-71.48395103962916,3450795863.2481112,1872577593.967314,100133359.59064142,5423506816.8060665
port1275,Taranto_Italy,ITA,POINT (17.19039045583256 40.50043567217553),40.500435672175534,17.190390455832556,3440745498.9680567,2995256535.5288215,5549581.0579300895,6441551615.554808
port1112,Rostov-Na-Donu_Russia,RUS,POINT (39.67937526829348 47.19478381922971),47.19478381922971,39.679375268293484,3410249807.481013,212503160.19353124,779753197.525029,4402506165.199573
port1082,Rada De Arica_Chile,CHL,POINT (-70.32285518739951 -18.47334815486602),-18.473348154866017,-70.32285518739951,3398090983.0330377,3844650684.957482,1004271188.3466485,8247012856.337168
port440,Hakodate Ko_Japan,JPN,POINT (140.6982446606165 41.79882812831512),41.79882812831512,140.69824466061647,3389541720.546314,553358728.7506864,347796.6371569106,3943248245.934157
port125,Batangas City_Philippines,PHL,POINT (121.0239172942205 13.74477091900434),13.744770919004338,121.02391729422052,3376772908.1133447,6993078482.180878,1979826831.8806865,12349678222.174908
port315,East London_South Africa,ZAF,POINT (27.90088103520612 -33.02810635632081),-33.02810635632081,27.900881035206123,3357442185.9210653,2214829902.089176,976991017.5477477,6549263105.557989
port1327,Tuban_Indonesia,IDN,POINT (111.9012586689234 -6.804486659766159),-6.804486659766159,111.90125866892342,3351772962.119996,2086948937.284765,214736125.06031188,5653458024.465074
port892,Pelabuhan Sungai Udang_Malaysia,MYS,POINT (102.1357974663084 2.26362701386173),2.2636270138617305,102.13579746630838,3347271163.107344,764353944.6591309,277248234.9622774,4388873342.728752
port527,Kaba Burnu_Turkey,TUR,POINT (29.54451527010234 40.76656465108577),40.766564651085766,29.544515270102337,3345326022.75909,9147569952.224466,3444777822.1671023,15937673797.15066
port1335,Ube Ko_Japan,JPN,POINT (131.2131837985779 33.94487467392668),33.94487467392668,131.21318379857794,3343807742.79005,2895683275.52063,40305185.19524665,6279796203.505927
port284,Degrad Des Cannes_French Guiana,GUF,POINT (-52.27523014318302 4.857107667349029),4.8571076673490285,-52.275230143183016,3343480064.257255,2684587532.4319134,87858546.28440586,6115926142.973575
port270,Daesan Hang_South Korea,KOR,POINT (126.4036727811738 37.01322693846365),37.01322693846365,126.40367278117384,3343283835.6702166,8801859871.108187,39241210.87911851,12184384917.657522
port385,Gemlik_Turkey,TUR,POINT (29.10348003502478 40.41272034564045),40.41272034564045,29.103480035024777,3339837792.3014026,3055772923.3972673,11614681583.438429,18010292299.1371
port1073,Qiwei_China,CHN,POINT (120.617624204721 31.99831756257984),31.998317562579835,120.61762420472098,3322461804.9416246,10806768239.22436,458043.3372494986,14129688087.503235
